timestamp,username,count_rt,text,is_retweeted,user_retweeted
2020-03-28 23:58:10,FredGolfcab80,322,"RT @AllanBARTE: Quoiiiii ?

""Pour le couple Macron, rester confinés ne serait pas chose aisée. Ainsi, Emmanuel et Brigitte Macron vivraient…",True,AllanBARTE
2020-03-28 23:57:45,nikolaymolotov,386,RT @LindaKebbab: Des policiers malades #COVID2019 empêchés d’être confinés par leur cheffe de service. Même quand un certificat médical le…,True,LindaKebbab
2020-03-28 23:57:05,ValbertP,319,RT @Infirmier0: M. @bompard le personnel de Carrefour Le Merlan à Marseille est en DANGER 🆘️ (Samed 28/03) #coronavirus #Confinementjour12…,True,Infirmier0
2020-03-28 23:56:08,Stephanococo,0,La petite connasse en dessous de chez moi a invité une copine chez elle. Comment je lui donne une leçon sans l'appr… https://t.co/aCdatdBlqX,False,False
2020-03-28 23:55:56,caroline_gio,1,"RT @chatelain_j: Jamais sans mon masque !
#ChangementDHeure #Confinementjour12 #confinementlove #ConfinementGeneral #DessinDePresse https:/…",True,chatelain_j
2020-03-28 23:54:28,dawidoht,386,RT @LindaKebbab: Des policiers malades #COVID2019 empêchés d’être confinés par leur cheffe de service. Même quand un certificat médical le…,True,LindaKebbab
2020-03-28 23:53:43,hervesors,322,"RT @AllanBARTE: Quoiiiii ?

""Pour le couple Macron, rester confinés ne serait pas chose aisée. Ainsi, Emmanuel et Brigitte Macron vivraient…",True,AllanBARTE
2020-03-28 23:53:17,yakidja,75,RT @Chronikfr: Peu d'écho médiatique et politique sur le non respect du #confinement dans les quartiers bourgeois de nos villes. Ici Mouffe…,True,Chronikfr
2020-03-28 23:52:37,jforcetwo,530,"RT @RemyBuisine: Un message très fort du personnel soignant devant l’Hopital Saint-Louis à Paris. Comme un SOS.

« Covid 19, on vaincra cet…",True,RemyBuisine
2020-03-28 23:52:04,Daras67170743,19,RT @mompontet: Vous avez remarqué que le pourcentage de blagues parmi les tweets sur le confinement est en train de baisser petit à petit ?…,True,mompontet
2020-03-28 23:51:56,LaurentOzon,319,RT @Infirmier0: M. @bompard le personnel de Carrefour Le Merlan à Marseille est en DANGER 🆘️ (Samed 28/03) #coronavirus #Confinementjour12…,True,Infirmier0
2020-03-28 23:50:56,Yopyop71463114,198,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",True,R_DeCastelnau
2020-03-28 23:50:20,Kidam31304621,319,RT @Infirmier0: M. @bompard le personnel de Carrefour Le Merlan à Marseille est en DANGER 🆘️ (Samed 28/03) #coronavirus #Confinementjour12…,True,Infirmier0
2020-03-28 23:50:19,compil_2020,64,RT @arsene_kn: Quand tu n'as pas d'imprimente pour imprimer l'attestation de sortie et tu as également la flemme d'écrire voici ce que ça d…,True,arsene_kn
2020-03-28 23:50:09,AdrienLahou,8,"RT @ahmedlndy: Les #Parisiens vous êtes des connards finis. Coup de gueule. Respectez ce putain de #Confinement et #RestezChezVous ! 

#Res…",True,ahmedlndy
2020-03-28 23:49:55,so_soline,26,"RT @ClementLanot: Un ❤️ géant pour ceux qui luttent contre le #Covid_19 sur un hôtel @Accor 

Plusieurs milliers de lits sont mis à disposi…",True,ClementLanot
2020-03-28 23:47:55,hocinerouagdia,530,"RT @RemyBuisine: Un message très fort du personnel soignant devant l’Hopital Saint-Louis à Paris. Comme un SOS.

« Covid 19, on vaincra cet…",True,RemyBuisine
2020-03-28 23:46:42,mindeufair,133,"RT @AllanBARTE: Et en même temps... 
ça ne la change pas trop de ses tenues habituelles !😊

Sibeth Ndiaye s'excuse après avoir dit que les…",True,AllanBARTE
2020-03-28 23:46:19,ELCHE_K,198,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",True,R_DeCastelnau
2020-03-28 23:46:16,chardounet,52,"RT @LindaKebbab: Il y a ceux qui secourent sans masque et s’exposent contre la propagation #COVID19, et il y a des ""journalistes"" pro-faken…",True,LindaKebbab
2020-03-28 23:45:58,CousinJol1,468,"RT @W_Alhusseini: Ile de France, une des régions les plus touchées de France.... on se demande bien pourquoi :( #Covid_19 

Pandémie : Pari…",True,W_Alhusseini
2020-03-28 23:45:43,FrancoiseMars,198,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",True,R_DeCastelnau
2020-03-28 23:45:15,7_Bouffy_7,530,"RT @RemyBuisine: Un message très fort du personnel soignant devant l’Hopital Saint-Louis à Paris. Comme un SOS.

« Covid 19, on vaincra cet…",True,RemyBuisine
2020-03-28 23:45:11,jenaimarrrrre,11,"RT @deverly_b: De la différence de traitement entre Château-rouge, populaire, et le 5e arrondissement, très riche. #ConfinementJour12 https…",True,deverly_b
2020-03-28 23:45:02,Jean18784261,468,"RT @W_Alhusseini: Ile de France, une des régions les plus touchées de France.... on se demande bien pourquoi :( #Covid_19 

Pandémie : Pari…",True,W_Alhusseini
2020-03-28 23:45:00,Bruno09589158,468,"RT @W_Alhusseini: Ile de France, une des régions les plus touchées de France.... on se demande bien pourquoi :( #Covid_19 

Pandémie : Pari…",True,W_Alhusseini
2020-03-28 23:44:47,netekouch,19,"RT @NoamCartozo: Tag un pote CRADO 

#confinement #confinementjour12 #joke https://t.co/KcT7Ttz895",True,NoamCartozo
2020-03-28 23:44:36,MaiEnFleur,75,RT @Chronikfr: Peu d'écho médiatique et politique sur le non respect du #confinement dans les quartiers bourgeois de nos villes. Ici Mouffe…,True,Chronikfr
