timestamp,username,count_rt,text,is_retweeted,user_retweeted
2020-03-29 23:59:49,SgerSheep,30,"RT @BlancheurO: Allez bonne nuit les poulagas !
#ACAB #Confinementjour13 https://t.co/VS3IUN6qgv",True,BlancheurO
2020-03-29 23:59:41,AnouarElghali,168,"RT @Infirmier0: @raoult_didier @IHU_Marseille 📽 L'hydroxychloroquine est le plus grand espoir de traitement contre le #coronavirus, Selon l…",True,Infirmier0
2020-03-29 23:58:56,deogracia_974,688,"RT @AllanBARTE: Manu a dit...
#ArgentMagique #ConfinementJour13 #confinement #Covid_19 #COVID19 

▶️ Source: https://t.co/kGWENUYarw

✊ Pou…",True,AllanBARTE
2020-03-29 23:57:50,isadici,759,RT @MarieDOLLE: De quoi faire sourire dans les tranchées ce matin #ConfinementJour13 https://t.co/lbCgXlidmr,True,MarieDOLLE
2020-03-29 23:52:15,pleinsud1,168,"RT @Infirmier0: @raoult_didier @IHU_Marseille 📽 L'hydroxychloroquine est le plus grand espoir de traitement contre le #coronavirus, Selon l…",True,Infirmier0
2020-03-29 23:49:38,Flobga,688,"RT @AllanBARTE: Manu a dit...
#ArgentMagique #ConfinementJour13 #confinement #Covid_19 #COVID19 

▶️ Source: https://t.co/kGWENUYarw

✊ Pou…",True,AllanBARTE
2020-03-29 23:48:30,Mlodie18942131,759,RT @MarieDOLLE: De quoi faire sourire dans les tranchées ce matin #ConfinementJour13 https://t.co/lbCgXlidmr,True,MarieDOLLE
2020-03-29 23:48:20,Jim_DV,9,"RT @ManonDrv: ☀️📖C’est le #ConfinementJour13. 

Il est difficile mais nécessaire de s’élever au-dessus du nuage gris-noir de l’urgence quot…",True,ManonDrv
2020-03-29 23:47:37,Wizzilc,0,"Bon, qui me prête son chien ? Je le garde gratuitement jusqu’à la fin du confinement 😏💁🏻 #Confinementjour13 #QuarantineLife",False,False
2020-03-29 23:46:58,johnmaclane56,52,RT @Eurosport_FR: Il est en pleine forme ! La preuve avec la #HomeStory exceptionnelle de @chainelsteve 🤩 #LesRP #ConfinementJour13 https:/…,True,Eurosport_FR
2020-03-29 23:46:21,stevenfire_YT,688,"RT @AllanBARTE: Manu a dit...
#ArgentMagique #ConfinementJour13 #confinement #Covid_19 #COVID19 

▶️ Source: https://t.co/kGWENUYarw

✊ Pou…",True,AllanBARTE
2020-03-29 23:45:16,Owen_Delryn,688,"RT @AllanBARTE: Manu a dit...
#ArgentMagique #ConfinementJour13 #confinement #Covid_19 #COVID19 

▶️ Source: https://t.co/kGWENUYarw

✊ Pou…",True,AllanBARTE
2020-03-29 23:39:27,bouguy7,2,RT @stephaanieb1: ECOUTEZ !!!!!!! #ProfesseurRaoult #Chloroquinepourtous #CODVID19 #ConfinementJour13 https://t.co/lTbYgjuKR7,True,stephaanieb1
2020-03-29 23:39:08,Skudblossom,688,"RT @AllanBARTE: Manu a dit...
#ArgentMagique #ConfinementJour13 #confinement #Covid_19 #COVID19 

▶️ Source: https://t.co/kGWENUYarw

✊ Pou…",True,AllanBARTE
2020-03-29 23:38:29,LePetitFaucon,688,"RT @AllanBARTE: Manu a dit...
#ArgentMagique #ConfinementJour13 #confinement #Covid_19 #COVID19 

▶️ Source: https://t.co/kGWENUYarw

✊ Pou…",True,AllanBARTE
2020-03-29 23:35:23,oreliamarie,186,"RT @MathieuFlex: Quand ça fait 23 fois que tes maîtres te sortent 

#ConfinementJour13 https://t.co/mhqclAh31W",True,MathieuFlex
2020-03-29 23:34:58,brabus_44,233,RT @rapunchline: 🚨Booba a lâché de vraies paroles de bonhomme sur le #Covid_19 #ConfinementJour13 https://t.co/NuH21vwcVe,True,rapunchline
