,username,count_rt_day,count_t_day,closeness_centrality,degree,in_degree,out_degree,betweenness_centrality,pagerank_value,cluster_id,modularity
0,afpfr,3.0,0.0,1.0,3,3,0,0.0,0.5522395096493726,0,0.0
1,GeorgesSalo,0.0,1.0,0.0,1,0,1,0.0,0.14925349678354255,0,0.0
2,mnl927,0.0,1.0,0.0,1,0,1,0.0,0.14925349678354255,0,0.0
3,mtuli_ps,0.0,1.0,0.0,1,0,1,0.0,0.14925349678354255,0,0.0
