,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
3,cocoows,citeofrance,2020-04-01 23:56:23,1405,"RT @citeofrance: 😷📦🍃 On fait quoi de nos #déchets pendant le #confinement ? Est-ce qu'on peut encore #trier ?
Voici quelques recommandation…",4,1
5,adrilabelle,citeofrance,2020-04-01 23:55:25,1405,"RT @citeofrance: 😷📦🍃 On fait quoi de nos #déchets pendant le #confinement ? Est-ce qu'on peut encore #trier ?
Voici quelques recommandation…",4,1
7,ptitchou_95,citeofrance,2020-04-01 23:51:15,1405,"RT @citeofrance: 😷📦🍃 On fait quoi de nos #déchets pendant le #confinement ? Est-ce qu'on peut encore #trier ?
Voici quelques recommandation…",4,1
9,marypoppins5634,citeofrance,2020-04-01 23:50:58,1405,"RT @citeofrance: 😷📦🍃 On fait quoi de nos #déchets pendant le #confinement ? Est-ce qu'on peut encore #trier ?
Voici quelques recommandation…",4,1
