,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
0,jamsy19,MarleneSchiappa,2020-04-06 23:59:31,111,"RT @MarleneSchiappa: L’homophobie reste évidemment un délit pendant le #confinement 

📲 Confiné/e avec des homophobes ? @lerefuge 

💻 Discr…",4,1
1,freesian946,MarleneSchiappa,2020-04-06 23:58:37,111,"RT @MarleneSchiappa: L’homophobie reste évidemment un délit pendant le #confinement 

📲 Confiné/e avec des homophobes ? @lerefuge 

💻 Discr…",4,1
3,ClareLouHart,MarleneSchiappa,2020-04-06 23:57:52,111,"RT @MarleneSchiappa: L’homophobie reste évidemment un délit pendant le #confinement 

📲 Confiné/e avec des homophobes ? @lerefuge 

💻 Discr…",4,1
8,lgbtfrancefr,MarleneSchiappa,2020-04-06 23:56:32,111,"RT @MarleneSchiappa: L’homophobie reste évidemment un délit pendant le #confinement 

📲 Confiné/e avec des homophobes ? @lerefuge 

💻 Discr…",4,1
