,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
1,lilijane75,afpfr,2020-04-07 23:55:39,273,RT @afpfr: Un maire ukrainien fait creuser des centaines de tombes afin d'inciter la population à respecter le #confinement #covid_19 #AFP…,4,1
2,SikkaSaiBerSeC,afpfr,2020-04-07 23:55:33,273,RT @afpfr: Un maire ukrainien fait creuser des centaines de tombes afin d'inciter la population à respecter le #confinement #covid_19 #AFP…,4,1
3,MLTena,afpfr,2020-04-07 23:55:08,273,RT @afpfr: Un maire ukrainien fait creuser des centaines de tombes afin d'inciter la population à respecter le #confinement #covid_19 #AFP…,4,1
6,Ines11774393,afpfr,2020-04-07 23:53:33,273,RT @afpfr: Un maire ukrainien fait creuser des centaines de tombes afin d'inciter la population à respecter le #confinement #covid_19 #AFP…,4,1
