,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
3,lesseume,30millionsdamis,2020-04-08 23:52:20,904,"RT @30millionsdamis: Allez, journée terminée ! C’est l’heure de la remise en forme... en mode #confinement 😜 Et 1, 2... 1, 2... 1, 2... 💪🏼h…",4,1
7,VirginieSchmi10,30millionsdamis,2020-04-08 23:50:00,904,"RT @30millionsdamis: Allez, journée terminée ! C’est l’heure de la remise en forme... en mode #confinement 😜 Et 1, 2... 1, 2... 1, 2... 💪🏼h…",4,1
8,NadSupernatrl,30millionsdamis,2020-04-08 23:48:57,904,"RT @30millionsdamis: Allez, journée terminée ! C’est l’heure de la remise en forme... en mode #confinement 😜 Et 1, 2... 1, 2... 1, 2... 💪🏼h…",4,1
9,nachosoy8,30millionsdamis,2020-04-08 23:48:38,904,"RT @30millionsdamis: Allez, journée terminée ! C’est l’heure de la remise en forme... en mode #confinement 😜 Et 1, 2... 1, 2... 1, 2... 💪🏼h…",4,1
