,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
3,Maidencloud,davidperrotin,2020-03-30 23:58:00,719,RT @davidperrotin: Ça serait intéressant de savoir combien de verbalisations abusives il va y avoir au total #confinement https://t.co/Ckfl…,3,1
4,guyzmo,davidperrotin,2020-03-30 23:57:22,719,RT @davidperrotin: Ça serait intéressant de savoir combien de verbalisations abusives il va y avoir au total #confinement https://t.co/Ckfl…,3,1
7,druide31,davidperrotin,2020-03-30 23:56:44,719,RT @davidperrotin: Ça serait intéressant de savoir combien de verbalisations abusives il va y avoir au total #confinement https://t.co/Ckfl…,3,1
