,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
1,MarieRogeer,Moon_Saidali,2020-04-04 23:54:32,436,RT @Moon_Saidali: Moi entrain d’attendre la saison 5 de la casa de Papel. #CasaDePapel4 #confinement https://t.co/b6Vo5NLjYE,4,1
3,Mia30014497,Moon_Saidali,2020-04-04 23:51:57,436,RT @Moon_Saidali: Moi entrain d’attendre la saison 5 de la casa de Papel. #CasaDePapel4 #confinement https://t.co/b6Vo5NLjYE,4,1
6,meanAndSassyaf,Moon_Saidali,2020-04-04 23:47:56,436,RT @Moon_Saidali: Moi entrain d’attendre la saison 5 de la casa de Papel. #CasaDePapel4 #confinement https://t.co/b6Vo5NLjYE,4,1
11,dika_ndy,Moon_Saidali,2020-04-04 23:42:04,436,RT @Moon_Saidali: Moi entrain d’attendre la saison 5 de la casa de Papel. #CasaDePapel4 #confinement https://t.co/b6Vo5NLjYE,4,1
