,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
0,BCGAB7,BlancheurO,2020-03-31 23:59:53,2042,"RT @BlancheurO: Dans les Landes, cette biche savourant la reconquête des espaces libérés offre un instant de grâce pour nous faire oublier…",5,1
1,PedroBertoletti,BlancheurO,2020-03-31 23:58:27,2042,"RT @BlancheurO: Dans les Landes, cette biche savourant la reconquête des espaces libérés offre un instant de grâce pour nous faire oublier…",5,1
3,dany17300,BlancheurO,2020-03-31 23:57:26,2042,"RT @BlancheurO: Dans les Landes, cette biche savourant la reconquête des espaces libérés offre un instant de grâce pour nous faire oublier…",5,1
7,Sodelycious,BlancheurO,2020-03-31 23:55:46,2042,"RT @BlancheurO: Dans les Landes, cette biche savourant la reconquête des espaces libérés offre un instant de grâce pour nous faire oublier…",5,1
9,4deerhound,BlancheurO,2020-03-31 23:54:49,2042,"RT @BlancheurO: Dans les Landes, cette biche savourant la reconquête des espaces libérés offre un instant de grâce pour nous faire oublier…",5,1
