,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
1,Thobama_,Infirmier0,2020-04-05 23:59:42,11011,RT @Infirmier0: Cette soignante est convoquée par sa direction Demain (lundi) après midi parce qu'elle a montré cette réalité des nouvelles…,6,1
2,Oneguine12,Infirmier0,2020-04-05 23:59:37,11011,RT @Infirmier0: Cette soignante est convoquée par sa direction Demain (lundi) après midi parce qu'elle a montré cette réalité des nouvelles…,6,1
3,yannick_stopyra,Infirmier0,2020-04-05 23:59:10,11011,RT @Infirmier0: Cette soignante est convoquée par sa direction Demain (lundi) après midi parce qu'elle a montré cette réalité des nouvelles…,6,1
4,spenglerio,Infirmier0,2020-04-05 23:59:01,11011,RT @Infirmier0: Cette soignante est convoquée par sa direction Demain (lundi) après midi parce qu'elle a montré cette réalité des nouvelles…,6,1
8,IndySan2,Infirmier0,2020-04-05 23:58:16,11011,RT @Infirmier0: Cette soignante est convoquée par sa direction Demain (lundi) après midi parce qu'elle a montré cette réalité des nouvelles…,6,1
9,KarabacakBekir,Infirmier0,2020-04-05 23:58:10,11011,RT @Infirmier0: Cette soignante est convoquée par sa direction Demain (lundi) après midi parce qu'elle a montré cette réalité des nouvelles…,6,1
